delta_privacy,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
29,15,480,2024-03-26 09:58:43.562655,Orin,19,74,6,35
32,15,480,2024-03-26 09:58:43.645468,Orin,18,74,6,35
32,15,480,2024-03-26 09:58:43.725630,Orin,18,74,6,35
32,15,480,2024-03-26 09:58:43.804831,Orin,17,74,6,35
32,15,480,2024-03-26 09:58:43.884547,Orin,17,74,6,35
32,15,480,2024-03-26 09:58:43.964814,Orin,23,74,6,35
32,15,480,2024-03-26 09:58:44.044123,Orin,19,74,6,35
32,15,480,2024-03-26 09:58:44.123632,Orin,13,74,6,35
33,15,480,2024-03-26 09:58:44.204238,Orin,18,74,6,35
37,15,480,2024-03-26 09:58:44.287786,Orin,16,74,6,35
32,15,480,2024-03-26 09:58:44.364090,Orin,19,74,6,35
32,15,480,2024-03-26 09:58:44.443148,Orin,17,74,6,35
32,15,480,2024-03-26 09:58:44.522919,Orin,19,74,6,35
32,15,480,2024-03-26 09:58:44.602642,Orin,14,74,6,35
32,15,480,2024-03-26 09:58:44.682733,Orin,14,74,6,35
32,15,480,2024-03-26 09:58:44.763350,Orin,18,74,6,35
32,15,480,2024-03-26 09:58:44.842560,Orin,13,74,6,35
32,15,480,2024-03-26 09:58:44.922855,Orin,18,74,6,35
32,15,480,2024-03-26 09:58:45.002662,Orin,20,74,6,35
32,15,480,2024-03-26 09:58:45.083195,Orin,13,74,6,35
32,15,480,2024-03-26 09:58:45.162461,Orin,18,74,6,35
32,15,480,2024-03-26 09:58:45.243592,Orin,17,74,6,35
32,15,480,2024-03-26 09:58:45.323157,Orin,22,74,6,35
32,15,480,2024-03-26 09:58:45.402532,Orin,17,74,6,35
37,15,480,2024-03-26 09:58:45.487381,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:45.559942,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:45.640368,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:45.720639,Orin,16,74,6,35
29,15,480,2024-03-26 09:58:45.800300,Orin,13,74,6,35
29,15,480,2024-03-26 09:58:45.880011,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:45.960382,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:46.040302,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:46.120473,Orin,16,74,6,35
30,15,480,2024-03-26 09:58:46.200544,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:46.280429,Orin,14,74,6,35
30,15,480,2024-03-26 09:58:46.359369,Orin,18,74,6,35
31,15,480,2024-03-26 09:58:46.441021,Orin,23,74,6,35
29,15,480,2024-03-26 09:58:46.517588,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:46.597281,Orin,14,74,6,35
31,15,480,2024-03-26 09:58:46.678449,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:46.756678,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:46.836478,Orin,22,74,6,35
30,15,480,2024-03-26 09:58:46.915475,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:46.996253,Orin,16,74,6,35
30,15,480,2024-03-26 09:58:47.076281,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:47.155949,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:47.236205,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:47.315331,Orin,22,74,6,35
30,15,480,2024-03-26 09:58:47.394833,Orin,22,74,6,35
30,15,480,2024-03-26 09:58:47.475154,Orin,25,74,6,35
30,15,480,2024-03-26 09:58:47.554926,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:47.634504,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:47.714319,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:47.793146,Orin,15,74,6,35
